,RegionA,RegionB,RegionC,RegionD,RegionE,RegionF
0,499.14900045,458.74350045000006,468.1097995399999,443.3408,448.4125,478.75190000000003
1,535.4235,527.3369995500001,536.5439999999999,465.3568,497.23749958333326,462.82609999999994
2,544.32,531.3599995500001,536.544,526.2080004266667,503.4,508.74929999999995
3,544.32,531.36,536.544,523.9167995733333,545.0,547.4335
4,544.31999955,531.36000045,536.544,588.2112004266667,556.6874995833334,559.1428999999999
5,544.32,531.35999955,536.54399954,589.3631995733333,570.3125,592.5184995766667
6,544.3200004500001,531.36,536.544,587.3408000000001,591.8875004166666,613.7783004233333
7,544.3200004500001,531.3599995500001,536.54399954,607.4111995733334,585.0250004166667,570.3951
8,544.32,531.3599995500001,536.54400046,580.3135995733334,549.1500004166667,561.6194
9,544.31999955,531.36,536.54400046,548.3391995733333,566.0125,554.6089995766667
10,531.71100045,531.36,536.54400046,541.8367995733333,533.0874995833334,513.6895995766666
11,506.1015,531.3599995500001,527.8499999999999,488.7296,452.5875,456.5522995766667
12,466.47899954999997,482.3819995500001,474.41639954,452.16,443.6849995833333,475.13240042333337
13,443.66670000000005,443.23604955,464.81160045999997,453.54240000000004,430.68124958333334,445.86652
14,423.08729955,422.43389955000004,429.90311999999994,390.1311995733333,399.73,398.68221
15,379.06649999999996,377.50049955000003,386.56422045999994,388.65151957333336,371.3024995833333,353.42830000000004
16,334.04399955,341.65935,342.13098046,334.78399999999993,336.33749958333334,307.3908004233333
17,316.91249955,344.73600045000006,368.80499999999995,308.6719995733333,343.725,331.7367004233334
18,299.44349955,291.10050045,293.0016,262.92480000000006,278.7624995833333,310.27370042333337
19,386.49149954999996,336.97349955000004,312.7908,293.0944004266667,322.8250004166666,271.93240000000003
20,330.88499955,356.076,349.69199954,279.11680042666666,292.7625,319.84950000000003
21,376.12350000000004,375.327,364.59599954000004,307.49440000000004,309.54999999999995,325.3993995766667
22,388.00349954999996,423.62999955,400.51740046,349.8240004266667,361.82500000000005,368.45239957666666
23,408.92849954999997,444.7440004500001,455.66220045999995,412.6464004266666,405.4500004166667,391.4902
24,478.15650045,460.2015,471.4355999999999,459.1488,404.9875,451.96760042333335
25,495.67949955000006,531.35999955,536.544,479.30879999999996,487.125,490.44859999999994
26,544.3200004500001,531.36000045,536.544,534.2719995733333,536.2625,546.9254999999999
27,544.32,531.36,536.5439999999999,535.6671995733334,556.25,584.835
28,544.32,531.36,536.5439995399998,589.5168,567.5000004166667,516.7977133333333
29,544.3199995500001,531.3599995500001,536.544,584.0511995733333,611.4625004166667,623.6495866666667
30,544.3200004500001,531.3599995500001,536.54400046,594.4832,603.6124995833334,628.3833000000001
31,544.31999955,531.36,536.54399954,581.1456004266668,591.8374995833333,594.6013
32,544.3200004500001,531.3599995500001,536.544,551.36,556.1249995833333,575.3989
33,544.3199999999999,531.3599995500001,536.54399954,578.9823995733334,555.95,580.4026995766667
34,535.6124995499999,531.3599995500001,536.54400046,519.9231995733332,468.6374995833333,505.3076004233334
35,516.4290004500001,517.9950000000001,524.63460046,508.1471999999999,497.10000041666666,487.3244004233334
36,464.1975,477.36000000000007,461.89980046,436.2713595733333,435.46249958333334,469.9000000000001
37,439.10100045,451.38600045000004,477.7559995400001,440.9779204266667,403.915,412.4451995766666
38,422.42040000000003,426.71610000000004,450.61278000000004,388.48000042666666,400.28374958333325,396.0266399999999
39,401.13090045000007,390.61979999999994,401.90153999999995,350.3744004266667,343.5312504166667,349.70720042333335
40,375.20549955,323.63955000000004,359.89847999999995,320.1407995733334,305.83750041666667,314.0964
41,328.90050045000004,286.83180045,341.4948,323.1360000000001,260.43749958333336,310.6673995766667
42,289.99350045,321.057,357.88919953999994,285.5936004266667,294.925,288.6202004233333
43,297.324,299.65950045,330.10979999999995,283.44320000000005,278.2625004166667,280.7843
44,346.34250000000003,326.11949955,334.19459953999996,299.5200000000001,313.09999999999997,273.69770042333334
45,327.84750045000004,353.61900045000004,398.04719953999995,339.02079957333336,346.375,347.29419957666664
46,416.9204995500001,389.13750000000005,392.0856004600001,368.6016004266666,391.33749958333334,373.6975004233333
47,442.7460000000001,434.295,427.77240046,406.72,391.5625004166665,368.3381000000001
48,472.04100045,470.6369995500001,472.95360046,444.07039957333336,463.3500000000001,484.5558004233334
49,530.4015004500001,507.2625004500001,536.544,483.91680042666667,468.2249995833332,490.23269957666673
50,544.32,531.36000045,536.5439995399998,543.8847995733333,493.07500041666674,524.3956999999999
51,544.32,531.36000045,536.5439999999999,554.2016004266667,539.65,553.4025004233333
52,544.3200004500001,531.36,536.54399954,564.2880000000001,580.5999999999999,581.7362004233333
53,544.32,531.36000045,536.544,601.1392,582.4875,582.5362995766667
54,544.31999955,531.36,536.54400046,601.7023995733333,605.7375000000001,620.9919004233334
55,544.3200004500001,531.36000045,536.5439995400001,608.3839995733333,587.325,590.9691
56,544.32,531.36000045,536.5439999999999,596.3519995733333,555.9124995833333,572.2366
57,544.32,531.3599995500001,536.54399954,530.0607995733333,526.6499995833333,548.1447000000001
58,544.32,531.3599995500001,536.54400046,502.77119999999996,530.1,495.5032004233334
59,487.75500045000007,512.163,517.1963999999999,497.84320042666667,488.57499958333335,474.1925995766667
60,469.25999955,477.66509955,468.02699954,439.2908804266667,423.01250041666674,438.4929000000001
61,465.23700045000004,453.5811,466.53245999999996,417.99679999999995,412.82374999999996,436.8927004233333
62,444.09734999999995,435.33449955,437.5207199999999,423.41759957333346,393.08624958333326,397.46682000000004
63,414.7159504500001,393.98400045,385.08624046,381.74336042666664,354.39750041666673,343.5985
64,328.71420000000006,345.05325000000005,338.38980046,316.60800042666654,313.95750041666673,343.9921995766667
65,330.75000045,318.26249955000003,355.97099954,326.950400426667,292.85,275.24710000000005
66,307.13849955000006,328.67100045,317.5932,307.71200000000005,276.025,291.0204995766666
67,262.83150000000006,277.57349955000007,336.59580046,296.63999957333334,301.6750000000001,289.7123995766666
68,341.46900045,359.478,367.83899954,341.5167995733334,307.725,295.9989000000003
69,339.3225,356.87250044999996,360.594,356.78720042666686,337.5999995833332,339.81389957666664
70,359.9504995500001,388.27350000000007,410.39819953999995,362.816,342.84999999999997,345.88450042333335
71,470.0835004500001,466.04700045,436.6872,418.21440042666677,413.66249958333344,386.8039000000002
72,459.0000004500002,461.241,485.6358,452.49279999999993,432.4125,468.18549957666664
73,531.495,531.35999955,513.5118,498.93119957333334,502.5875,491.2106004233333
74,544.3200004500001,531.35999955,529.85099954,519.0527999999999,506.76249999999993,544.8173004233336
75,544.32,531.3600000000001,536.5440004599999,533.3760004266667,545.2874995833333,549.5543995766666
76,544.32,531.36000045,536.5439999999999,580.7487995733331,560.7875004166667,570.0141
77,544.32,531.35999955,536.54400046,579.0463995733334,548.1625004166667,577.8753995766666
78,544.3200004500001,531.36000045,536.544,585.0368004266664,619.8874995833332,581.9140000000001
79,544.31999955,531.36000045,536.54400046,593.1648004266667,567.9625,567.7154004233333
80,544.3200004500001,531.36000045,536.54399954,605.5808000000001,544.1375,560.8574000000001
81,544.31999955,531.36,536.5439999999999,541.0175995733333,562.8625004166666,547.8780000000002
82,544.32,531.36,536.54399954,541.1712004266666,516.5749995833334,558.5841
83,527.364,511.1505,536.5439995400001,523.1360004266668,458.125,475.742
84,499.25699955000005,467.4375000000001,485.59440045999986,450.1120004266667,454.12499958333336,454.53299999999996
85,459.8100004500001,459.19845000000015,476.4532795399999,442.92992000000004,424.9775,425.7078104233333
86,410.23799999999994,440.89920000000006,437.99819999999994,389.5808,392.60999958333315,385.1021
87,377.838,398.69820045,389.73407954,367.7695999999999,365.4574995833333,372.0363404233335
88,333.35549954999993,329.30550045,388.5252,328.5760004266667,312.7599999999998,325.76769957666687
89,303.35850045,310.81049955000003,331.03439954,285.6448000000001,320.80000041666653,268.64310042333335
90,307.62449955000005,346.27499955,342.59879954,267.14880042666664,301.85,287.3883
91,301.88700045,319.437,271.1700000000001,288.93440000000015,280.9000000000001,279.61589957666666
92,339.2955,353.1600000000001,346.22819953999993,330.16319957333343,299.8875004166666,286.9819004233333
93,368.469,378.83700000000005,327.75000046,321.04959957333335,340.08750041666667,350.1897995766667
94,392.7825,356.4135,406.617,369.4207999999999,349.5,347.91650000000004
95,452.76300044999994,428.00399999999996,400.60019954,403.50719999999995,379.075,432.42229957666666
96,465.62850045000005,453.76200000000006,465.32220046,426.15039957333335,423.19999999999993,453.97420000000005
97,543.72599955,530.7525,519.2526004599999,482.6623995733332,482.96250041666667,494.4109999999999
98,515.60549955,531.3599995500001,536.54399954,542.3743999999999,547.35,533.8318
99,544.32,531.36,536.5439995399998,556.1343995733333,547.5374999999999,569.3409999999999
100,544.3199995500001,531.3600004500001,536.54400046,580.2111995733335,549.1749995833334,567.4995
101,544.3199995499999,531.36,536.544,583.7056000000001,572.7749999999999,564.5912000000002
102,544.3200004500001,531.36,536.544,557.568,563.3749999999999,614.2609004233332
103,544.31999955,531.35999955,536.544,594.3807995733333,582.8625,587.6163004233333
104,544.32,531.3599995500001,536.54400046,568.192,530.9875004166665,539.7627000000001
105,544.3199995500001,531.36,536.5439995399998,586.1888,572.8375,540.3215
106,544.31999955,531.3599995500001,536.5440004599999,502.7456004266668,507.6,508.2539995766669
107,530.6175004500001,531.36000045,527.8086,479.0143995733334,475.0,489.3437004233334
108,472.87800000000004,478.8585,503.39640045999994,446.4384,422.3249999999999,450.9897004233334
109,454.20750045,424.61549955,481.95395999999994,424.82815957333327,414.42499958333315,419.54704000000004
110,396.2655000000001,408.3898500000001,420.25139954,390.6291204266665,400.0,395.45133000000015
111,378.32669955000006,388.65825,404.70156046000005,352.0640004266669,379.47499999999997,358.53370042333347
112,318.99150045,328.02299955,332.73180045999993,325.90080042666676,331.12500041666664,314.8076
113,309.97349955,316.12949955000005,336.5682,309.2095995733334,265.27625,309.0418
114,316.64249955,322.94700045,366.7487999999998,309.2608000000001,274.5625004166668,319.4684995766666
115,343.08900000000006,299.91600045,329.30940045999995,285.2864000000002,315.1249995833335,315.8616999999999
116,293.08500045000005,309.12300045000006,347.9669999999999,311.75679999999994,312.44999958333335,288.89960042333325
117,334.395,360.08549955000007,338.45880046,345.2927995733332,333.2375000000001,329.2474995766668
118,417.582,398.7630000000001,384.70260046000004,382.82239957333337,394.70000041666646,344.9700995766666
119,469.86749955000005,433.74149955000007,427.9931995399999,387.3408000000001,383.7625,408.94
120,465.7635,470.63699955000004,480.54359954,449.7152000000001,433.2000004166667,428.9298
121,533.7360004500001,531.35999955,517.62420046,508.1087995733333,468.4625004166667,488.7849004233335
122,544.3199995499999,531.36,536.544,491.0847999999998,464.2374995833333,515.2898004233335
123,544.3199995500001,531.36,536.544,536.2688004266668,511.0249999999999,574.6750004233332
124,544.3200004500001,531.3599995500001,536.5439999999999,594.8416004266666,579.9749995833333,594.5759004233335
125,544.32,531.36,536.54399954,596.7616004266666,599.0374999999999,605.5614004233331
126,544.3200004500001,531.36000045,536.54400046,584.2944,586.587499583333,574.5353004233333
127,544.3199995500001,531.3599995500001,536.54400046,573.0943995733332,577.3499995833336,595.8458999999999
128,544.32,531.36,536.5440000000001,590.9376000000001,590.4999995833333,560.2986
129,544.32,531.3600000000002,536.5439995399998,552.5887999999998,536.2375,559.3714995766667
130,542.538,531.36000045,536.54400046,515.6991999999999,511.87499958333314,517.6011995766663
131,541.5795004500001,497.4480004500001,536.5439995399998,491.82719957333336,451.43749958333336,506.18389999999977
132,488.7269995500001,484.5825004500001,511.4004,438.75072000000046,442.7250000000001,460.7306000000001
133,469.11285045,460.95075,461.78388,440.47744000000034,401.30000000000007,426.2577200000001
134,419.8607995500001,420.7814995499997,458.27316,393.05472042666656,394.94000041666663,382.5874995766665
135,383.76450000000006,392.07914955000007,388.1415604599999,372.6323200000003,356.94999958333335,351.9576395766665
136,306.03149955000004,359.27549955,343.6752,313.24160042666654,315.125,302.7807
137,307.40850045,326.24099955,296.6724,262.6944004266667,304.63750000000005,316.6237004233334
138,308.33999955,277.65450044999994,289.9104,273.6512,322.4625000000001,282.2321000000001
