Hour,RegionA,RegionB,RegionC,RegionD,RegionE,RegionF
0,1.7583333333333333,14.373333333333335,1.5506666666666666,49.919999999999995,12.06,18.56
1,3.58,9.234666666666667,30.924,58.976,15.651666666666667,49.599999999999994
2,7.536,31.81066666666667,31.7,102.00833333333334,19.9,80.64
3,10.915000000000001,30.067999999999998,31.7,98.31566666666666,45.75999999999999,99.52
4,12.646666666666668,29.245333333333335,33.300000000000004,102.19433333333333,69.09166666666668,100.52
5,13.010000000000002,17.44666666666667,26.27266666666667,100.67866666666667,53.39600000000001,91.62666666666667
6,10.717333333333334,13.705000000000004,32.788000000000004,82.50000000000001,35.43333333333334,74.45533333333334
7,11.889333333333333,15.57866666666667,36.510666666666665,107.16766666666666,39.697333333333326,77.69000000000001
8,23.380000000000003,16.294666666666668,37.053333333333335,89.63266666666668,44.384333333333345,92.30000000000004
9,21.288666666666668,17.352,29.639333333333337,83.49866666666667,39.61999999999999,34.10066666666668
10,19.443333333333335,14.879999999999995,23.580333333333332,75.95866666666666,85.97666666666666,52.14666666666666
11,19.032,12.736666666666666,23.06199999999999,77.57400000000001,65.36000000000001,48.29866666666666
12,13.992666666666661,25.959666666666667,12.366666666666667,81.98,69.72266666666667,38.61333333333334
13,12.839999999999998,24.746666666666666,18.05133333333333,64.33800000000001,105.38766666666669,68.08
14,7.158666666666668,25.230666666666668,15.780000000000001,95.08066666666667,107.11000000000001,67.66900000000001
15,6.628,43.40266666666667,13.638333333333335,99.29466666666666,76.40866666666663,100.36
16,18.250666666666667,55.31299999999999,9.533333333333337,75.13999999999997,41.99866666666664,79.93333333333331
17,17.319666666666656,42.850333333333325,10.745,73.38466666666666,55.01400000000001,101.18133333333336
18,17.659666666666666,57.58533333333334,18.603,77.20600000000002,30.56266666666665,84.99733333333332
19,58.870666666666665,70.65766666666669,19.016,86.32433333333336,13.989333333333335,76.29299999999999
20,58.00366666666666,59.178000000000004,16.49066666666667,85.20933333333335,29.6,86.64800000000001
21,66.149,58.08899999999998,11.326666666666682,89.42500000000001,72.11199999999998,119.7856666666667
22,66.56266666666667,38.776666666666664,6.685333333333338,96.62133333333335,54.31,78.81066666666668
23,81.17466666666665,37.00433333333335,4.145333333333333,77.63333333333327,37.33733333333331,67.89899999999997
24,56.89333333333332,13.263999999999996,3.7800000000000002,83.921,48.44,87.94433333333332
25,21.820666666666675,27.72366666666666,3.9200000000000013,62.439999999999976,66.904,57.852
26,10.841333333333331,9.822333333333301,17.36,50.96166666666666,42.820000000000036,89.93399999999998
27,5.350000000000002,6.048,25.123999999999988,75.51466666666668,53.9,125.88
28,6.560000000000001,7.48,19.646666666666665,140.12,54.816333333333354,148.84533333333334
29,23.822666666666667,7.114666666666668,20.808000000000003,116.79666666666665,93.02833333333334,133.39866666666674
30,46.89833333333334,21.62366666666666,20.509333333333345,88.74399999999999,93.60166666666669,85.75600000000003
31,57.16966666666666,21.892000000000003,7.56166666666667,78.71133333333336,83.01466666666666,48.17300000000003
32,39.93733333333332,25.25266666666667,41.088,68.436,83.51366666666667,83.96699999999998
33,31.460999999999977,22.414666666666665,51.900666666666666,57.60266666666669,73.43199999999999,95.06666666666669
34,34.42666666666662,23.930666666666667,44.24633333333337,86.5266666666666,91.56666666666668,114.39333333333337
35,17.91133333333334,16.532000000000025,36.92133333333333,88.33299999999994,99.24833333333332,91.03333333333336
36,28.866,18.72,25.185333333333332,127.59866666666667,76.01866666666668,97.60400000000004
37,38.04633333333334,20.554333333333332,26.654666666666717,126.28533333333334,93.6,79.1336666666666
38,35.000000000000014,22.516000000000002,27.16200000000002,123.76133333333335,92.95866666666656,22.46799999999993
39,29.77933333333332,23.007999999999996,25.754999999999995,102.04533333333335,61.29733333333334,26.709333333333365
40,16.87666666666665,21.394,24.636000000000003,92.04766666666673,31.923333333333332,88.99600000000001
41,11.573333333333329,24.437333333333328,53.891999999999996,90.16300000000004,34.45066666666668,92.35166666666667
42,14.389333333333335,16.644000000000016,37.14266666666665,66.57833333333333,47.976,106.75033333333334
43,18.451000000000008,18.879333333333335,45.634,73.76300000000003,56.013333333333335,111.77599999999997
44,30.54200000000001,25.736666666666657,52.346666666666664,77.51600000000003,65.55199999999996,115.23733333333334
45,28.439333333333337,24.329333333333334,55.70166666666666,79.45466666666667,85.79599999999999,105.65466666666664
46,37.247666666666674,25.200000000000003,56.79733333333339,70.00833333333331,90.37066666666665,83.22933333333327
47,44.504,27.832,36.21233333333333,57.595999999999975,89.01133333333325,71.23400000000007
48,50.006333333333345,28.718666666666685,48.53833333333333,60.346666666666685,90.48400000000001,64.69333333333333
49,39.433333333333316,20.06433333333335,48.29999999999999,69.49333333333333,68.6066666666666,69.3316666666667
50,35.644000000000034,18.231333333333335,27.11466666666663,51.68266666666666,76.50133333333338,55.53899999999999
51,34.230999999999995,18.787333333333343,37.458,38.13233333333335,31.823999999999963,75.49133333333332
52,36.181333333333335,19.968000000000004,34.08766666666667,35.16100000000004,44.08,53.38633333333329
53,37.58,19.249333333333325,38.14,75.38,91.75999999999999,46.57866666666665
54,39.75266666666666,17.01800000000001,35.82533333333333,86.23466666666663,89.9,78.08133333333336
55,19.129333333333335,30.79933333333334,24.63766666666672,94.07866666666666,109.13200000000006,67.56
56,7.492000000000002,30.125333333333334,19.655999999999977,111.49466666666667,116.0326666666667,60.088999999999984
57,8.36100000000001,42.916666666666686,8.278666666666659,131.07466666666664,94.61666666666667,63.80600000000006
58,9.458000000000002,41.49666666666667,12.994333333333298,142.357,78.305,41.74533333333333
59,5.527333333333329,43.32,7.890000000000001,123.55533333333335,62.6106666666667,32.946666666666665
60,5.276666666666667,19.53766666666663,21.445666666666664,145.14833333333337,43.013333333333435,14.444000000000026
61,5.370333333333333,7.864999999999995,21.3,150.72399999999996,44.912,31.534333333333297
62,20.719999999999995,11.014666666666667,18.526,126.42166666666671,42.66666666666664,26.960000000000026
63,20.777333333333406,12.25633333333333,19.369333333333334,154.14033333333327,45.657333333333355,29.099999999999998
64,6.972000000000017,9.875000000000007,17.669333333333363,171.22933333333324,23.725333333333396,43.914666666666676
65,5.109333333333329,7.986666666666668,12.432666666666668,161.08533333333358,25.32,46.66800000000003
66,18.01466666666669,7.333333333333345,9.700000000000054,158.11200000000005,34.92,51.313666666666634
67,25.71800000000001,7.57466666666667,12.608333333333334,124.45166666666665,45.648000000000074,69.93866666666663
68,24.15333333333333,3.147000000000002,13.38666666666666,141.49966666666674,48.91,55.6880000000002
69,39.435,19.879333333333324,16.44,135.70933333333343,81.67066666666658,54.630666666666635
70,39.134666666666725,22.010999999999996,29.85166666666666,95.44999999999999,89.58399999999996,53.69233333333334
71,29.771333333333338,22.321333333333335,27.409000000000063,80.80133333333342,92.78066666666669,88.85500000000016
72,37.15733333333344,23.767999999999997,10.309000000000026,61.81999999999996,92.628,67.61466666666668
73,32.178000000000004,25.506666666666653,6.979999999999997,24.161666666666672,110.45600000000003,63.48933333333333
74,31.74133333333334,26.09166666666666,6.8866666666666685,74.0399999999999,106.11599999999997,36.5613333333335
75,26.100000000000016,15.368000000000043,8.117333333333324,106.65333333333334,88.42266666666669,46.870666666666644
76,17.990000000000084,6.645333333333335,8.623999999999995,141.24666666666656,94.73633333333336,27.243999999999986
77,29.359999999999996,6.982666666666667,18.661333333333335,107.16866666666667,82.98933333333338,44.19666666666668
78,30.883333333333358,4.91633333333334,17.106000000000005,95.52533333333315,95.00666666666666,39.37900000000002
